股票代號,股票名稱,產業別,收盤價,年線價格,年線乖離率,成交量狀態,最近年度股利,最近年度EPS,殖利率(%),平均填息天數,Payout,近3月的營收,Rev_Trend_Score,近1季毛利率,近2季毛利率,GM_Trend_Status,GM_Trend_Score,近3年平均殖利率,近3年平均配發率,目標殖利率價格(6%),分數,評分-殖利率,評分-填息,評分-連續配息,評分-年資,評分-連續獲利,評分-ROA,評分-本業,Yield_Avg_5Y,策略評價結果,Risk_Index,Detailed_Reason,Yield_Risk,EPS_Risk,Dividend_Risk,ROA_Risk,Core_Risk,建議動作
2377,微星,電腦及週邊設備業,95.5,132.83,-28.1,正常,5.0,4.87,5.2356020942408374,30.25,102.66940451745378,正常,0,11.26,11.11,持平,0,5.93,81.27,112.0,7,●,○,○,○,○,✗,○,7.036649214659686,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
6206,飛捷,電子工業,91.8,112.59,-18.47,正常,6.0,5.33,6.535947712418301,75.25,112.5703564727955,留意(月增>10%),1,42.89,43.86,持平,0,5.63,109.0,78.33,7,●,○,○,○,○,✗,○,5.119825708061002,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
9938,百和,其他,50.7,56.68,-10.56,正常,3.0,3.37,5.9171597633136095,22.8,89.02077151335311,留意(月增>10%),1,35.81,34.58,成長,1,4.27,79.43,43.33,7,○,●,○,○,○,✗,○,5.128205128205128,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
5519,隆大,建材營造,31.15,31.78,-1.97,正常,3.0,4.3100000000000005,9.630818619582666,86.5,69.60556844547563,價值陷阱(連3黑),-1,35.35,22.85,成長,1,7.81,60.98,37.0,7,●,○,○,○,○,✗,○,7.126805778491173,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
8938,明安,運動休閒類,71.2,66.94,6.36,正常,4.08867709,3.5599999999999996,5.742524002808989,13.666666666666666,114.85048005617979,正常,0,16.34,12.44,成長,1,6.86,643.71,76.21,7,○,●,○,○,○,✗,○,6.422328404494381,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
9941,裕融,其他,78.0,101.81,-23.39,正常,4.38,5.8,5.615384615384615,176.0,75.51724137931033,價值陷阱(連3黑),-1,44.54,43.21,成長,1,6.87,64.93,87.6,6,●,✗,○,○,○,✗,○,6.738461538461538,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
2357,華碩,電腦及週邊設備業,510.0,626.47,-18.59,正常,34.0,44.629999999999995,6.666666666666667,101.6,76.18194039883487,正常,0,14.33,13.81,成長,1,4.31,62.12,446.67,6,○,○,○,○,○,✗,○,5.254901960784314,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
9939,宏全,其他,122.0,140.86,-13.39,正常,6.19998751,7.6,5.0819569754098355,20.75,81.57878302631579,價值陷阱(連3黑),-1,24.12,22.31,成長,1,4.47,63.99,80.83,6,✗,●,○,○,○,✗,○,3.97540778852459,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
4536,拓凱,運動休閒,162.0,183.95,-11.93,出量,11.0,12.08,6.790123456790123,71.6,91.05960264900662,留意(月增>10%),1,34.76,37.97,季減>2%,-1,6.28,68.91,138.33,6,○,○,○,○,○,✗,○,5.123456790123457,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
1102,亞泥,水泥工業,35.5,40.18,-11.66,正常,2.2,2.42,6.19718309859155,94.75,90.90909090909092,價值陷阱(連3黑),-1,16.69,18.07,持平,0,6.2,71.81,44.87,6,●,○,○,○,○,✗,✗,7.584273233802816,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
