股票代號,股票名稱,產業別,收盤價,年線價格,年線乖離率,成交量狀態,最近年度股利,最近年度EPS,殖利率(%),平均填息天數,Payout,近3月的營收,Rev_Trend_Score,近1季毛利率,近2季毛利率,GM_Trend_Status,GM_Trend_Score,近3年平均殖利率,近3年平均配發率,目標殖利率價格(6%),分數,評分-殖利率,評分-填息,評分-連續配息,評分-年資,評分-連續獲利,評分-ROA,評分-本業,Yield_Avg_5Y,策略評價結果,Risk_Index,Detailed_Reason,Yield_Risk,EPS_Risk,Dividend_Risk,ROA_Risk,Core_Risk,建議動作
5519,隆大,建材營造,30.85,31.76,-2.87,正常,3.0,4.3100000000000005,9.724473257698541,86.5,69.60556844547563,價值陷阱(連3黑),-1,35.35,22.85,成長,1,7.89,60.98,37.0,7,●,○,○,○,○,✗,○,7.196110210696921,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
8446,華研,文化創意業,93.8,100.4,-6.58,正常,8.0,8.61,8.528784648187633,290.0,92.91521486643438,正常,0,71.72,63.05,成長,1,6.75,68.71,90.0,4,○,✗,○,○,○,✗,✗,5.756929637526653,入選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
3014,聯陽,電子工業,120.0,131.59,-8.81,正常,9.0,7.62,7.5,222.5,118.11023622047243,價值陷阱(連3黑),-1,53.09,54.06,持平,0,6.39,86.06,126.67,6,●,✗,○,○,○,✗,○,6.333333333333332,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
4736,泰博,生技醫療業,134.5,129.59,3.79,正常,10.0,11.17,7.434944237918216,168.66666666666666,89.52551477170994,留意(月增>10%),1,39.84,56.06,季減>2%,-1,9.91,119.7,221.16,5,●,✗,○,○,○,✗,✗,9.865785707063198,入選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
4536,拓凱,運動休閒,158.0,183.64,-13.96,正常,11.0,12.08,6.962025316455696,71.6,91.05960264900662,留意(月增>10%),1,34.76,37.97,季減>2%,-1,6.43,68.91,138.33,6,○,○,○,○,○,✗,○,5.253164556962026,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
2488,漢平,電子工業,46.0,47.53,-3.22,正常,3.2,3.53,6.956521739130435,114.25,90.6515580736544,價值陷阱(連3黑),-1,23.27,23.66,持平,0,6.16,67.01,37.33,6,○,○,○,○,○,✗,○,4.869565217391304,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
2357,華碩,電腦及週邊設備業,496.0,625.0,-20.64,正常,34.0,44.629999999999995,6.854838709677419,101.6,76.18194039883487,正常,0,14.33,13.81,成長,1,4.44,62.12,446.67,6,○,○,○,○,○,✗,○,5.403225806451613,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
5515,建國,建材營造,32.45,28.36,14.44,量縮,2.15,2.91,6.625577812018489,111.8,73.88316151202748,正常,0,20.32,12.05,成長,1,4.26,60.96,19.91,5,✗,○,○,○,○,✗,○,3.6804852326656388,入選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
5609,中菲行,航運業,78.7,78.89,-0.24,正常,5.2,6.13,6.607369758576874,330.3333333333333,84.82871125611746,價值陷阱(連3黑),-1,14.44,14.18,持平,0,9.28,107.09,124.37,6,●,✗,○,○,○,✗,○,9.48183470393901,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
6206,飛捷,電子工業,91.7,112.22,-18.28,正常,6.0,5.33,6.543075245365322,75.25,112.5703564727955,留意(月增>10%),1,42.89,43.86,持平,0,5.63,109.0,78.33,7,●,○,○,○,○,✗,○,5.125408942202835,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
3078,僑威,電子零組件業,62.6,78.95,-20.71,正常,4.0,4.97,6.3897763578274756,228.25,80.48289738430584,價值陷阱(連3黑),-1,25.08,27.5,季減>2%,-1,5.94,66.83,58.5,5,○,✗,○,○,○,✗,○,5.60702875399361,入選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
4987,科誠,電腦及週邊設備業,81.5,75.15,8.45,正常,5.2,4.359999999999999,6.38036809815951,200.5,119.26605504587158,留意(月增>10%),1,43.24,38.19,成長,1,5.4,90.77,60.67,5,○,✗,○,○,○,✗,○,4.466257668711656,入選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
2031,新光鋼,鋼鐵工業,39.5,42.19,-6.37,出量,2.5,2.67,6.329113924050633,34.0,93.63295880149813,留意(月增>10%),1,8.69,8.83,持平,0,5.49,59.91,41.4,5,○,○,○,○,○,✗,✗,6.288472156962024,入選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
1102,亞泥,水泥工業,35.15,40.14,-12.43,正常,2.2,2.42,6.258890469416786,94.75,90.90909090909092,價值陷阱(連3黑),-1,16.69,18.07,持平,0,6.26,71.81,44.87,6,●,○,○,○,○,✗,✗,7.659792312944523,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
1604,聲寶,電器電纜,24.1,25.51,-5.53,量縮,1.5,1.29,6.224066390041493,199.0,116.27906976744187,正常,0,19.3,19.03,持平,0,6.22,87.68,32.33,5,●,✗,○,○,○,✗,✗,8.049792531120332,入選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
9942,茂順,其他,113.5,111.44,1.84,出量,7.0,6.03,6.167400881057269,74.0,116.08623548922057,正常,0,39.94,38.16,成長,1,5.76,81.47,96.0,6,○,○,○,○,○,✗,○,5.07488986784141,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
8016,矽創,電子工業,195.5,201.46,-2.96,正常,12.0,10.3,6.138107416879795,39.0,116.50485436893203,正常,0,28.91,30.65,持平,0,7.84,112.09,285.0,6,○,○,○,○,○,✗,○,8.746803069053708,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
2414,精技,電子通路業,40.85,41.13,-0.69,正常,2.5,2.38,6.119951040391677,177.2,105.0420168067227,正常,0,7.72,7.65,持平,0,5.88,97.49,39.33,6,●,✗,○,○,○,✗,○,5.777233782129743,優選,0.0,無,正常,正常,正常,正常,正常,續抱 (Hold)
