代號,名稱,策略,成本,現價,損益率%,建議動作,詳細原因,風險等級
0050,元大台灣50,ETF,58.11,72.6,24.94,Unknown,未知策略: ETF,Unknown
3551,世禾,高殖利率,130.0,179.5,38.08,獲利了結 (Take Profit),殖利率過低(<3%),1
2107,厚生,巨鯨狙擊,25.98,25.0,-3.77,續抱 (Hold),趨勢正常,Low
2412,中華電,高殖利率,130.0,133.5,2.69,續抱 (Hold),無,0
2002,中鋼,高殖利率,20.18,20.75,2.82,避險停損 (Stop Loss),殖利率過低(<3%); EPS虧損,2
2393,億光,高殖利率,51.07,55.6,8.87,續抱 (Hold),無,0
9904,寶成,巨鯨狙擊,28.9,30.45,5.36,賣出訊號 (Submit Sell),跌破季線(MA60 30.58),High
4417,金洲,高殖利率,54.1,51.9,-4.07,續抱 (Hold),無,0
5212,凌網,高殖利率,54.5,52.8,-3.12,續抱 (Hold),無,0
5315,光聯,高殖利率,23.95,24.6,2.71,續抱 (Hold),無,0
5511,德昌,高殖利率,64.5,67.4,4.5,續抱 (Hold),無,0
5519,隆大,高殖利率,32.23,30.85,-4.28,續抱 (Hold),無,0
2385,群光,高殖利率,115.0,117.0,1.74,續抱 (Hold),無,0
3217,優群,高殖利率,169.0,156.5,-7.4,續抱 (Hold),無,0
2883,凱基金,巨鯨狙擊,18.1,18.05,-0.28,續抱 (Hold),趨勢正常,Low
6147,頎邦,巨鯨狙擊,58.5,54.8,-6.32,減碼觀察 (Reduce/Watch),跌破月線(MA20 56.57),Med
4123,晟德,巨鯨狙擊,43.2,40.3,-6.71,減碼觀察 (Reduce/Watch),跌破月線(MA20 41.30),Med
1313,聯成,巨鯨狙擊,11.4,11.15,-2.19,續抱 (Hold),趨勢正常,Low
