排名,代號,名稱,產業分類,總分,基本面評分,籌碼面評分,收盤價,RSI,K值,成交量,營收年增率,ROE,毛利率
1,7734,印能科技,半導體業,80.0,70.0,90,1095.0,59.9,65.4,538683,703.9,0,63.9
2,2455,全新,電子工業,77.0,64.0,90,168.0,54.8,27.9,5968322,703.9,0,32.9
3,6515,穎崴,電子工業,77.0,64.0,90,3905.0,63.7,68.9,809824,703.9,0,42.1
4,2368,金像電,電子工業,77.0,64.0,90,701.0,59.1,69.7,9300155,703.9,0,35.6
5,3529,力旺,半導體業,75.0,70.0,80,1830.0,55.8,71.5,1464528,703.9,0,100.0
6,8464,億豐,居家生活,75.0,70.0,80,427.0,63.8,64.0,2244917,703.9,0,58.7
7,2412,中華電,電子工業,72.0,64.0,80,133.5,56.1,52.8,14876701,703.9,0,37.1
8,2360,致茂,電子工業,70.0,70.0,70,980.0,57.0,50.8,3036126,703.9,0,59.8
9,3066,李洲,光電業,70.0,70.0,70,14.9,54.7,28.5,98074,703.9,0,58.9
10,3164,景岳,生技醫療業,70.0,70.0,70,18.25,50.6,70.8,55462,703.9,0,62.4
11,4105,東洋,生技醫療業,70.0,70.0,70,85.3,62.6,64.8,1502822,703.9,0,55.6
12,3533,嘉澤,電子零組件業,70.0,70.0,70,1430.0,54.1,57.8,1404066,703.9,0,51.2
13,4168,醣聯,生技醫療業,70.0,70.0,70,28.9,62.5,59.0,631718,703.9,0,65.4
14,2482,連宇,電子工業,70.0,70.0,70,18.15,52.9,42.0,145956,703.9,0,51.6
15,3030,德律,電子工業,70.0,70.0,70,180.0,51.9,54.8,2556897,703.9,0,56.7
16,1783,和康生,生技醫療業,70.0,70.0,70,46.2,56.4,43.1,150325,703.9,0,67.2
17,4911,德英,生技醫療業,70.0,70.0,70,42.2,49.9,58.6,38486,703.9,0,84.7
18,4951,精拓科,半導體業,70.0,70.0,70,67.6,60.3,68.2,112233,703.9,0,73.8
19,6491,晶碩,化學生技醫療,70.0,70.0,70,290.0,55.2,63.2,520164,703.9,0,50.7
20,5604,中連,其他,70.0,70.0,70,38.4,52.7,69.0,116105,703.9,0,80.7
21,6951,青新-創,綠能環保,70.0,70.0,70,77.9,62.4,47.8,99547,703.9,0,59.0
22,8932,智通*,其他,70.0,70.0,70,196.5,60.1,67.5,12881013,703.9,0,66.4
23,7728,光焱科技,其他電子類,70.0,70.0,70,675.0,58.5,33.9,680011,703.9,0,65.7
24,1519,華城,電機機械,67.0,64.0,70,970.0,58.9,45.2,3758251,703.9,0,41.7
25,4108,懷特,化學生技醫療,67.0,64.0,70,14.1,51.6,46.2,218484,703.9,0,39.3
26,4106,雃博,化學生技醫療,67.0,64.0,70,23.1,57.7,49.1,52687,703.9,0,46.7
27,3252,海灣,觀光餐旅,67.0,64.0,70,18.4,42.9,53.5,31001,703.9,0,35.1
28,2401,凌陽,電子工業,67.0,64.0,70,22.0,52.6,46.7,2845591,703.9,0,45.9
29,1443,立益物流,其他,67.0,64.0,70,27.5,52.5,64.3,31042,703.9,0,48.4
30,1708,東鹼,化學生技醫療,67.0,64.0,70,33.4,53.3,59.4,1332883,703.9,0,32.5
31,1512,瑞利,汽車工業,67.0,64.0,70,7.95,49.9,27.4,120322,703.9,0,35.8
32,1432,大魯閣,運動休閒,67.0,64.0,70,18.5,56.1,60.3,182162,703.9,0,43.3
33,8279,生展,生技醫療業,67.0,64.0,70,134.5,58.8,60.2,61437,703.9,0,34.6
34,6821,聯寶,電子零組件業,67.0,64.0,70,38.1,54.2,35.8,89100,703.9,0,38.7
35,5533,皇鼎,建材營造,67.0,64.0,70,14.3,48.6,73.8,60003,703.9,0,31.1
36,6261,久元,半導體業,67.0,64.0,70,71.3,55.3,51.0,586484,703.9,0,33.2
37,5425,台半,半導體業,67.0,64.0,70,63.6,52.4,31.2,5982505,703.9,0,30.6
38,6840,東研信超,其他電子類,67.0,64.0,70,70.9,55.0,31.9,346825,703.9,0,42.6
39,3716,中化控股,生技醫療業,67.0,64.0,70,34.0,58.7,68.3,69637,703.9,0,38.4
40,4160,訊聯基因,生技醫療業,67.0,64.0,70,53.1,51.4,32.7,54372,703.9,0,40.4
41,2495,普安,電腦及週邊設備業,67.0,64.0,70,35.0,60.1,66.5,12016977,703.9,0,39.5
42,3122,笙泉,半導體業,67.0,64.0,70,24.8,55.6,54.2,528357,703.9,0,32.6
43,1597,直得,電機機械,67.0,64.0,70,80.0,54.4,41.6,540344,703.9,0,39.4
44,4946,辣椒,文化創意業,67.0,64.0,70,115.0,56.4,61.3,79728,703.9,0,32.2
45,6192,巨路,電子工業,67.0,64.0,70,119.5,56.9,37.7,285572,703.9,0,32.6
46,5299,杰力,半導體業,67.0,64.0,70,74.9,52.5,32.4,131594,703.9,0,35.3
47,4735,豪展,生技醫療業,67.0,64.0,70,33.0,52.0,60.4,28108,703.9,0,33.7
48,4167,松瑞藥,生技醫療業,67.0,64.0,70,20.7,59.3,38.6,2112875,703.9,0,36.0
49,8481,政伸,其他,67.0,64.0,70,42.3,60.8,38.5,15000,703.9,0,48.9
50,8045,達運光電,電子工業,67.0,64.0,70,82.8,56.4,57.5,242891,703.9,0,37.4
51,6761,穩得,電子零組件業,67.0,64.0,70,142.0,52.2,48.8,757709,703.9,0,38.4
52,8027,鈦昇,電機機械,67.0,64.0,70,112.0,56.7,65.6,2227890,703.9,0,36.7
53,9960,邁達康,運動休閒類,67.0,64.0,70,23.3,55.0,73.0,9204,703.9,0,35.1
54,6684,安格,半導體業,67.0,64.0,70,49.85,47.3,51.3,367000,703.9,0,46.8
55,6642,富致,電子零組件業,67.0,64.0,70,54.5,56.6,74.7,135000,703.9,0,43.2
56,2330,台積電,半導體業,65.0,70.0,60,1775.0,64.4,68.5,46341867,703.9,0,59.5
57,3014,聯陽,電子工業,65.0,70.0,60,120.0,57.5,47.9,1154236,703.9,0,53.1
58,5274,信驊,半導體業,65.0,70.0,60,8880.0,63.6,65.8,299763,703.9,0,69.3
59,6223,旺矽,半導體業,65.0,70.0,60,2515.0,57.1,65.4,1726228,703.9,0,53.4
60,6643,M31,半導體業,65.0,70.0,60,469.0,61.2,69.2,1423835,703.9,0,100.0
61,3526,凡甲,電子零組件業,62.0,64.0,60,249.0,50.9,37.4,245824,703.9,0,47.9
62,2606,裕民,航運業,62.0,64.0,60,62.2,50.7,37.5,9290424,703.9,0,35.3
63,2395,研華,電腦及週邊設備業,62.0,64.0,60,299.5,60.7,74.2,5114573,703.9,0,38.9
64,2481,強茂,電子工業,62.0,64.0,60,90.4,52.4,42.6,29669035,703.9,0,31.3
